"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US3268585","Spring Valley CDP, Nevada","220707","13061",
"1600000US3271400","Sunrise Manor CDP, Nevada","204985","13234",
"1600000US3345140","Manchester city, New Hampshire","115141","23",
"1600000US3350260","Nashua city, New Hampshire","91162","24",
"1600000US3403580","Bayonne city, New Jersey","69527","27",
"1600000US3410000","Camden city, New Jersey","70998","31",
"1600000US3413690","Clifton city, New Jersey","88722","56",
"1600000US3419390","East Orange city, New Jersey","68445","18",
"1600000US3421000","Elizabeth city, New Jersey","134274","44",
"1600000US3436000","Jersey City city, New Jersey","286661","47",
"1600000US3438580","Lakewood CDP, New Jersey","74485","8507",
"1600000US3451000","Newark city, New Jersey","305339","36",
"1600000US3456550","Passaic city, New Jersey","69121","32",
"1600000US3457000","Paterson city, New Jersey","156639","78",
"1600000US3473110","Toms River CDP, New Jersey","95021","867",
"1600000US3474000","Trenton city, New Jersey","89658","27",
"1600000US3474630","Union City city, New Jersey","65365","23",
"1600000US3502000","Albuquerque city, New Mexico","561006","37",
"1600000US3539380","Las Cruces city, New Mexico","113881","37",
"1600000US3563460","Rio Rancho city, New Mexico","108072","34",
"1600000US3570500","Santa Fe city, New Mexico","89001","38",
"1600000US3601000","Albany city, New York","100832","27",
"1600000US3611000","Buffalo city, New York","276491","45",
"1600000US3615000","Cheektowaga CDP, New York","75261","1970",
"1600000US3649121","Mount Vernon city, New York","71717","29",
"1600000US3650617","New Rochelle city, New York","82292","32",
"1600000US3651000","New York city, New York","8335897","*****",
"1600000US3663000","Rochester city, New York","209325","92",
"1600000US3665508","Schenectady city, New York","68810","21",
"1600000US3673000","Syracuse city, New York","144459","40",
"1600000US3684000","Yonkers city, New York","208112","46",
"1600000US3701520","Apex town, North Carolina","71064","30",
"1600000US3702140","Asheville city, North Carolina","93782","32",
"1600000US3710740","Cary town, North Carolina","179256","1031",
"1600000US3712000","Charlotte city, North Carolina","897720","57",
"1600000US3714100","Concord city, North Carolina","109898","26",
"1600000US3719000","Durham city, North Carolina","291844","258",
